row,Confidentiality Requirement (without Not Defined) v1.1.1 (cvss),Confidentiality Impact to the Vulnerable System v3.0.0 (cvss),Integrity Requirement (without Not Defined) v1.1.1 (cvss),Integrity Impact to the Vulnerable System v3.0.0 (cvss),Availability Requirement (without Not Defined) v1.1.1 (cvss),Availability Impact to the Vulnerable System v3.0.0 (cvss),Equivalence Set 6 v1.0.0 (cvss)
278,low,low,low,high,low,high,low
279,low,none,medium,high,low,high,low
280,high,none,low,none,medium,high,low
281,medium,low,low,none,medium,high,low
282,low,high,low,none,medium,high,low
283,medium,none,medium,none,medium,high,low
284,low,low,medium,none,medium,high,low
285,low,none,high,none,medium,high,low
286,medium,none,low,low,medium,high,low
287,low,low,low,low,medium,high,low
288,low,none,medium,low,medium,high,low
289,low,none,low,high,medium,high,low
290,medium,none,low,none,high,high,high
291,low,low,low,none,high,high,high
292,low,none,medium,none,high,high,high
293,low,none,low,low,high,high,high
294,high,high,high,none,low,none,high
295,high,high,medium,low,low,none,high
296,high,low,high,low,low,none,low
297,medium,high,high,low,low,none,low
298,high,high,low,high,low,none,high
299,high,low,medium,high,low,none,low
300,medium,high,medium,high,low,none,low
301,high,none,high,high,low,none,high
302,medium,low,high,high,low,none,high
303,low,high,high,high,low,none,high
304,high,high,medium,none,medium,none,high
305,high,low,high,none,medium,none,low
306,medium,high,high,none,medium,none,low
307,high,high,low,low,medium,none,high
308,high,low,medium,low,medium,none,low
309,medium,high,medium,low,medium,none,low
310,high,none,high,low,medium,none,low
311,medium,low,high,low,medium,none,low
312,low,high,high,low,medium,none,low
313,high,low,low,high,medium,none,low
314,medium,high,low,high,medium,none,low
315,high,none,medium,high,medium,none,low
316,medium,low,medium,high,medium,none,low
317,low,high,medium,high,medium,none,low
318,medium,none,high,high,medium,none,high
319,low,low,high,high,medium,none,high
320,high,high,low,none,high,none,high
321,high,low,medium,none,high,none,low
322,medium,high,medium,none,high,none,low
323,high,none,high,none,high,none,low
324,medium,low,high,none,high,none,low
325,low,high,high,none,high,none,low
326,high,low,low,low,high,none,low
327,medium,high,low,low,high,none,low
328,high,none,medium,low,high,none,low
329,medium,low,medium,low,high,none,low
330,low,high,medium,low,high,none,low
331,medium,none,high,low,high,none,low
332,low,low,high,low,high,none,low
333,high,none,low,high,high,none,low
334,medium,low,low,high,high,none,low
335,low,high,low,high,high,none,low
336,medium,none,medium,high,high,none,low
337,low,low,medium,high,high,none,low
338,low,none,high,high,high,none,high
339,high,high,medium,none,low,low,high
340,high,low,high,none,low,low,low
341,medium,high,high,none,low,low,low
342,high,high,low,low,low,low,high
343,high,low,medium,low,low,low,low
344,medium,high,medium,low,low,low,low
345,high,none,high,low,low,low,low
346,medium,low,high,low,low,low,low
347,low,high,high,low,low,low,low
348,high,low,low,high,low,low,low
349,medium,high,low,high,low,low,low
350,high,none,medium,high,low,low,low
351,medium,low,medium,high,low,low,low
352,low,high,medium,high,low,low,low
353,medium,none,high,high,low,low,high
354,low,low,high,high,low,low,high
355,high,high,low,none,medium,low,high
356,high,low,medium,none,medium,low,low
357,medium,high,medium,none,medium,low,low
358,high,none,high,none,medium,low,low
359,medium,low,high,none,medium,low,low
360,low,high,high,none,medium,low,low
361,high,low,low,low,medium,low,low
362,medium,high,low,low,medium,low,low
363,high,none,medium,low,medium,low,low
364,medium,low,medium,low,medium,low,low
365,low,high,medium,low,medium,low,low
366,medium,none,high,low,medium,low,low
367,low,low,high,low,medium,low,low
368,high,none,low,high,medium,low,low
369,medium,low,low,high,medium,low,low
370,low,high,low,high,medium,low,low
371,medium,none,medium,high,medium,low,low
372,low,low,medium,high,medium,low,low
373,low,none,high,high,medium,low,high
374,high,low,low,none,high,low,low
375,medium,high,low,none,high,low,low
376,high,none,medium,none,high,low,low
377,medium,low,medium,none,high,low,low
378,low,high,medium,none,high,low,low
379,medium,none,high,none,high,low,low
380,low,low,high,none,high,low,low
381,high,none,low,low,high,low,low
382,medium,low,low,low,high,low,low
383,low,high,low,low,high,low,low
384,medium,none,medium,low,high,low,low
385,low,low,medium,low,high,low,low
386,low,none,high,low,high,low,low
387,medium,none,low,high,high,low,low
388,low,low,low,high,high,low,low
389,low,none,medium,high,high,low,low
390,high,high,low,none,low,high,high
391,high,low,medium,none,low,high,low
392,medium,high,medium,none,low,high,low
393,high,none,high,none,low,high,low
394,medium,low,high,none,low,high,low
395,low,high,high,none,low,high,low
396,high,low,low,low,low,high,low
397,medium,high,low,low,low,high,low
398,high,none,medium,low,low,high,low
399,medium,low,medium,low,low,high,low
400,low,high,medium,low,low,high,low
401,medium,none,high,low,low,high,low
402,low,low,high,low,low,high,low
403,high,none,low,high,low,high,low
404,medium,low,low,high,low,high,low
405,low,high,low,high,low,high,low
406,medium,none,medium,high,low,high,low
407,low,low,medium,high,low,high,low
408,low,none,high,high,low,high,high
409,high,low,low,none,medium,high,low
410,medium,high,low,none,medium,high,low
411,high,none,medium,none,medium,high,low
412,medium,low,medium,none,medium,high,low
413,low,high,medium,none,medium,high,low
414,medium,none,high,none,medium,high,low
415,low,low,high,none,medium,high,low
416,high,none,low,low,medium,high,low
417,medium,low,low,low,medium,high,low
418,low,high,low,low,medium,high,low
419,medium,none,medium,low,medium,high,low
420,low,low,medium,low,medium,high,low
421,low,none,high,low,medium,high,low
422,medium,none,low,high,medium,high,low
423,low,low,low,high,medium,high,low
424,low,none,medium,high,medium,high,low
425,high,none,low,none,high,high,high
426,medium,low,low,none,high,high,high
427,low,high,low,none,high,high,high
428,medium,none,medium,none,high,high,high
429,low,low,medium,none,high,high,high
430,low,none,high,none,high,high,high
431,medium,none,low,low,high,high,high
432,low,low,low,low,high,high,high
433,low,none,medium,low,high,high,high
434,low,none,low,high,high,high,high
435,high,high,high,low,low,none,high
436,high,high,medium,high,low,none,high
437,high,low,high,high,low,none,high
438,medium,high,high,high,low,none,high
439,high,high,high,none,medium,none,high
440,high,high,medium,low,medium,none,high
441,high,low,high,low,medium,none,low
442,medium,high,high,low,medium,none,low
443,high,high,low,high,medium,none,high
444,high,low,medium,high,medium,none,low
445,medium,high,medium,high,medium,none,low
446,high,none,high,high,medium,none,high
447,medium,low,high,high,medium,none,high
448,low,high,high,high,medium,none,high
449,high,high,medium,none,high,none,high
450,high,low,high,none,high,none,low
451,medium,high,high,none,high,none,low
452,high,high,low,low,high,none,high
453,high,low,medium,low,high,none,low
454,medium,high,medium,low,high,none,low
455,high,none,high,low,high,none,low
456,medium,low,high,low,high,none,low
457,low,high,high,low,high,none,low
458,high,low,low,high,high,none,low
459,medium,high,low,high,high,none,low
460,high,none,medium,high,high,none,low
461,medium,low,medium,high,high,none,low
462,low,high,medium,high,high,none,low
463,medium,none,high,high,high,none,high
464,low,low,high,high,high,none,high
465,high,high,high,none,low,low,high
466,high,high,medium,low,low,low,high
467,high,low,high,low,low,low,low
468,medium,high,high,low,low,low,low
469,high,high,low,high,low,low,high
470,high,low,medium,high,low,low,low
471,medium,high,medium,high,low,low,low
472,high,none,high,high,low,low,high
473,medium,low,high,high,low,low,high
474,low,high,high,high,low,low,high
475,high,high,medium,none,medium,low,high
476,high,low,high,none,medium,low,low
477,medium,high,high,none,medium,low,low
478,high,high,low,low,medium,low,high
479,high,low,medium,low,medium,low,low
480,medium,high,medium,low,medium,low,low
481,high,none,high,low,medium,low,low
482,medium,low,high,low,medium,low,low
483,low,high,high,low,medium,low,low
484,high,low,low,high,medium,low,low
485,medium,high,low,high,medium,low,low
486,high,none,medium,high,medium,low,low
487,medium,low,medium,high,medium,low,low
488,low,high,medium,high,medium,low,low
489,medium,none,high,high,medium,low,high
490,low,low,high,high,medium,low,high
491,high,high,low,none,high,low,high
492,high,low,medium,none,high,low,low
493,medium,high,medium,none,high,low,low
494,high,none,high,none,high,low,low
495,medium,low,high,none,high,low,low
496,low,high,high,none,high,low,low
497,high,low,low,low,high,low,low
498,medium,high,low,low,high,low,low
499,high,none,medium,low,high,low,low
500,medium,low,medium,low,high,low,low
501,low,high,medium,low,high,low,low
502,medium,none,high,low,high,low,low
503,low,low,high,low,high,low,low
504,high,none,low,high,high,low,low
505,medium,low,low,high,high,low,low
506,low,high,low,high,high,low,low
507,medium,none,medium,high,high,low,low
508,low,low,medium,high,high,low,low
509,low,none,high,high,high,low,high
510,high,high,medium,none,low,high,high
511,high,low,high,none,low,high,low
512,medium,high,high,none,low,high,low
513,high,high,low,low,low,high,high
514,high,low,medium,low,low,high,low
515,medium,high,medium,low,low,high,low
516,high,none,high,low,low,high,low
517,medium,low,high,low,low,high,low
518,low,high,high,low,low,high,low
519,high,low,low,high,low,high,low
520,medium,high,low,high,low,high,low
521,high,none,medium,high,low,high,low
522,medium,low,medium,high,low,high,low
523,low,high,medium,high,low,high,low
524,medium,none,high,high,low,high,high
525,low,low,high,high,low,high,high
526,high,high,low,none,medium,high,high
527,high,low,medium,none,medium,high,low
528,medium,high,medium,none,medium,high,low
529,high,none,high,none,medium,high,low
530,medium,low,high,none,medium,high,low
531,low,high,high,none,medium,high,low
532,high,low,low,low,medium,high,low
533,medium,high,low,low,medium,high,low
534,high,none,medium,low,medium,high,low
535,medium,low,medium,low,medium,high,low
536,low,high,medium,low,medium,high,low
537,medium,none,high,low,medium,high,low
538,low,low,high,low,medium,high,low
539,high,none,low,high,medium,high,low
540,medium,low,low,high,medium,high,low
541,low,high,low,high,medium,high,low
542,medium,none,medium,high,medium,high,low
543,low,low,medium,high,medium,high,low
544,low,none,high,high,medium,high,high
545,high,low,low,none,high,high,high
546,medium,high,low,none,high,high,high
547,high,none,medium,none,high,high,high
548,medium,low,medium,none,high,high,high
549,low,high,medium,none,high,high,high
550,medium,none,high,none,high,high,high
551,low,low,high,none,high,high,high
552,high,none,low,low,high,high,high
553,medium,low,low,low,high,high,high
554,low,high,low,low,high,high,high
555,medium,none,medium,low,high,high,high
556,low,low,medium,low,high,high,high
557,low,none,high,low,high,high,high
558,medium,none,low,high,high,high,high
559,low,low,low,high,high,high,high
560,low,none,medium,high,high,high,high
561,high,high,high,high,low,none,high
562,high,high,high,low,medium,none,high
563,high,high,medium,high,medium,none,high
564,high,low,high,high,medium,none,high
565,medium,high,high,high,medium,none,high
566,high,high,high,none,high,none,high
567,high,high,medium,low,high,none,high
568,high,low,high,low,high,none,low
569,medium,high,high,low,high,none,low
570,high,high,low,high,high,none,high
571,high,low,medium,high,high,none,low
572,medium,high,medium,high,high,none,low
573,high,none,high,high,high,none,high
574,medium,low,high,high,high,none,high
575,low,high,high,high,high,none,high
576,high,high,high,low,low,low,high
577,high,high,medium,high,low,low,high
578,high,low,high,high,low,low,high
579,medium,high,high,high,low,low,high
580,high,high,high,none,medium,low,high
581,high,high,medium,low,medium,low,high
582,high,low,high,low,medium,low,low
583,medium,high,high,low,medium,low,low
584,high,high,low,high,medium,low,high
585,high,low,medium,high,medium,low,low
586,medium,high,medium,high,medium,low,low
587,high,none,high,high,medium,low,high
588,medium,low,high,high,medium,low,high
589,low,high,high,high,medium,low,high
590,high,high,medium,none,high,low,high
591,high,low,high,none,high,low,low
592,medium,high,high,none,high,low,low
593,high,high,low,low,high,low,high
594,high,low,medium,low,high,low,low
595,medium,high,medium,low,high,low,low
596,high,none,high,low,high,low,low
597,medium,low,high,low,high,low,low
598,low,high,high,low,high,low,low
599,high,low,low,high,high,low,low
600,medium,high,low,high,high,low,low
601,high,none,medium,high,high,low,low
602,medium,low,medium,high,high,low,low
603,low,high,medium,high,high,low,low
604,medium,none,high,high,high,low,high
605,low,low,high,high,high,low,high
606,high,high,high,none,low,high,high
607,high,high,medium,low,low,high,high
608,high,low,high,low,low,high,low
609,medium,high,high,low,low,high,low
610,high,high,low,high,low,high,high
611,high,low,medium,high,low,high,low
612,medium,high,medium,high,low,high,low
613,high,none,high,high,low,high,high
614,medium,low,high,high,low,high,high
615,low,high,high,high,low,high,high
616,high,high,medium,none,medium,high,high
617,high,low,high,none,medium,high,low
618,medium,high,high,none,medium,high,low
619,high,high,low,low,medium,high,high
620,high,low,medium,low,medium,high,low
621,medium,high,medium,low,medium,high,low
622,high,none,high,low,medium,high,low
623,medium,low,high,low,medium,high,low
624,low,high,high,low,medium,high,low
625,high,low,low,high,medium,high,low
626,medium,high,low,high,medium,high,low
627,high,none,medium,high,medium,high,low
628,medium,low,medium,high,medium,high,low
629,low,high,medium,high,medium,high,low
630,medium,none,high,high,medium,high,high
631,low,low,high,high,medium,high,high
632,high,high,low,none,high,high,high
633,high,low,medium,none,high,high,high
634,medium,high,medium,none,high,high,high
635,high,none,high,none,high,high,high
636,medium,low,high,none,high,high,high
637,low,high,high,none,high,high,high
638,high,low,low,low,high,high,high
639,medium,high,low,low,high,high,high
640,high,none,medium,low,high,high,high
641,medium,low,medium,low,high,high,high
642,low,high,medium,low,high,high,high
643,medium,none,high,low,high,high,high
644,low,low,high,low,high,high,high
645,high,none,low,high,high,high,high
646,medium,low,low,high,high,high,high
647,low,high,low,high,high,high,high
648,medium,none,medium,high,high,high,high
649,low,low,medium,high,high,high,high
650,low,none,high,high,high,high,high
651,high,high,high,high,medium,none,high
652,high,high,high,low,high,none,high
653,high,high,medium,high,high,none,high
654,high,low,high,high,high,none,high
655,medium,high,high,high,high,none,high
656,high,high,high,high,low,low,high
657,high,high,high,low,medium,low,high
658,high,high,medium,high,medium,low,high
659,high,low,high,high,medium,low,high
660,medium,high,high,high,medium,low,high
661,high,high,high,none,high,low,high
662,high,high,medium,low,high,low,high
663,high,low,high,low,high,low,low
664,medium,high,high,low,high,low,low
665,high,high,low,high,high,low,high
666,high,low,medium,high,high,low,low
667,medium,high,medium,high,high,low,low
668,high,none,high,high,high,low,high
669,medium,low,high,high,high,low,high
670,low,high,high,high,high,low,high
671,high,high,high,low,low,high,high
672,high,high,medium,high,low,high,high
673,high,low,high,high,low,high,high
674,medium,high,high,high,low,high,high
675,high,high,high,none,medium,high,high
676,high,high,medium,low,medium,high,high
677,high,low,high,low,medium,high,low
678,medium,high,high,low,medium,high,low
679,high,high,low,high,medium,high,high
680,high,low,medium,high,medium,high,low
681,medium,high,medium,high,medium,high,low
682,high,none,high,high,medium,high,high
683,medium,low,high,high,medium,high,high
684,low,high,high,high,medium,high,high
685,high,high,medium,none,high,high,high
686,high,low,high,none,high,high,high
687,medium,high,high,none,high,high,high
688,high,high,low,low,high,high,high
689,high,low,medium,low,high,high,high
690,medium,high,medium,low,high,high,high
691,high,none,high,low,high,high,high
692,medium,low,high,low,high,high,high
693,low,high,high,low,high,high,high
694,high,low,low,high,high,high,high
695,medium,high,low,high,high,high,high
696,high,none,medium,high,high,high,high
697,medium,low,medium,high,high,high,high
698,low,high,medium,high,high,high,high
699,medium,none,high,high,high,high,high
700,low,low,high,high,high,high,high
701,high,high,high,high,high,none,high
702,high,high,high,high,medium,low,high
703,high,high,high,low,high,low,high
704,high,high,medium,high,high,low,high
705,high,low,high,high,high,low,high
706,medium,high,high,high,high,low,high
707,high,high,high,high,low,high,high
708,high,high,high,low,medium,high,high
709,high,high,medium,high,medium,high,high
710,high,low,high,high,medium,high,high
711,medium,high,high,high,medium,high,high
712,high,high,high,none,high,high,high
713,high,high,medium,low,high,high,high
714,high,low,high,low,high,high,high
715,medium,high,high,low,high,high,high
716,high,high,low,high,high,high,high
717,high,low,medium,high,high,high,high
718,medium,high,medium,high,high,high,high
719,high,none,high,high,high,high,high
720,medium,low,high,high,high,high,high
721,low,high,high,high,high,high,high
722,high,high,high,high,high,low,high
723,high,high,high,high,medium,high,high
724,high,high,high,low,high,high,high
725,high,high,medium,high,high,high,high
726,high,low,high,high,high,high,high
727,medium,high,high,high,high,high,high
728,high,high,high,high,high,high,high
